# benchreport-meta: env=ci
# benchreport-meta: label=CI — GitHub-hosted runner (ubuntu-latest)
# benchreport-meta: tier=secondary
# benchreport-meta: machine=shared ubuntu-latest runner (noisy)
# benchreport-meta: commit=f874cc8
# benchreport-meta: date=2026-06-23T17:05:54Z
# benchreport-meta: goversion=go1.24.13
# benchreport-meta: benchtime=50ms
# benchreport-meta: count=8
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz
Array_Get/size_100-4,2.887e-09,0%
Array_Get/size_1000-4,2.8895e-09,2%
Array_Get/size_10000-4,2.8899999999999997e-09,0%
Array_Push/size_10-4,4.674500000000001e-09,1%
Array_Push/size_100-4,4.67e-09,1%
Array_Push/size_1000-4,4.6485e-09,1%
Array_Push/size_10000-4,4.665000000000001e-09,1%
Array_Filter/size_10-4,1.8040000000000003e-07,2%
Array_Filter/size_100-4,6.455500000000001e-07,4%
Array_Filter/size_1000-4,4.7285000000000006e-06,2%
Array_Filter/size_10000-4,4.792550000000001e-05,18%
Array_ForEach/size_10-4,5.1980000000000006e-08,2%
Array_ForEach/size_100-4,2.645e-07,0%
Array_ForEach/size_1000-4,2.0315e-06,0%
Array_ForEach/size_10000-4,1.9569500000000003e-05,1%
Linked_Get/size_10-4,5.583e-09,1%
Linked_Get/size_100-4,5.4915e-08,0%
Linked_Get/size_1000-4,6.992000000000001e-07,0%
Linked_Get/size_10000-4,7.259e-06,0%
Linked_Push/size_10-4,3.144e-08,4%
Linked_Push/size_100-4,1.6225000000000001e-07,1%
Linked_Push/size_1000-4,1.543e-06,1%
Linked_Push/size_10000-4,1.5128500000000001e-05,0%
Linked_Filter/size_10-4,1.8285000000000003e-07,1%
Linked_Filter/size_100-4,6.7565e-07,1%
Linked_Filter/size_1000-4,5.473e-06,8%
Linked_Filter/size_10000-4,7.01915e-05,2%
Linked_ForEach/size_10-4,5.2225000000000006e-08,1%
Linked_ForEach/size_100-4,2.7915e-07,8%
Linked_ForEach/size_1000-4,2.1695e-06,1%
Linked_ForEach/size_10000-4,2.2525000000000002e-05,1%
DoublyLinked_Get/size_10-4,5.0375e-09,1%
DoublyLinked_Get/size_100-4,1.705e-08,1%
DoublyLinked_Get/size_1000-4,3.1465000000000003e-07,0%
DoublyLinked_Get/size_10000-4,3.839e-06,1%
DoublyLinked_Push/size_10-4,3.1935e-08,3%
DoublyLinked_Push/size_100-4,3.201000000000001e-08,1%
DoublyLinked_Push/size_1000-4,3.185e-08,1%
DoublyLinked_Push/size_10000-4,3.4274999999999994e-08,3%
DoublyLinked_Filter/size_10-4,1.798e-07,2%
DoublyLinked_Filter/size_100-4,6.711e-07,2%
DoublyLinked_Filter/size_1000-4,5.482e-06,2%
DoublyLinked_Filter/size_10000-4,7.1252e-05,2%
DoublyLinked_ForEach/size_10-4,5.3165000000000007e-08,2%
DoublyLinked_ForEach/size_100-4,3.1255000000000003e-07,1%
DoublyLinked_ForEach/size_1000-4,2.3705000000000004e-06,2%
DoublyLinked_ForEach/size_10000-4,2.2774000000000003e-05,3%
FlatMap/size_10-4,1.081e-06,2%
FlatMap/size_100-4,8.754000000000001e-06,1%
FlatMap/size_1000-4,8.543650000000001e-05,3%
FlatMap/size_10000-4,0.0008439855,2%
